id;descripcion;descripcion_larga;fecha_inicio;fecha_fin;telematico_presencial;hora;ubicacion;numero_horas
1;Kansas Kazakhstan payment;ADP SMS;2020-02-05;2020-02-04;"p";2020-02-05T05:41:53;Hat 6th generation Massachusetts;49679
2;Operations Berkshire hack;generate;2020-02-04;2020-02-04;"P";2020-02-04T22:39:53;Administrator Future;56397
3;Rustic Cotton Computer;withdrawal Incredible Cotton Computer;2020-02-05;2020-02-04;"t";2020-02-04T20:28:53;bottom-line Wyoming;78534
4;Bike;Generic Granite Cheese Branding Aruban Guilder;2020-02-05;2020-02-04;"P";2020-02-05T03:53:48;Ethiopia Handmade Frozen Gloves;37712
5;Borders;Research withdrawal;2020-02-04;2020-02-05;"T";2020-02-05T07:39:36;Organic;84891
6;Refined;multi-byte;2020-02-05;2020-02-04;"t";2020-02-05T10:51:18;Borders wireless Incredible Metal Hat;95557
7;maroon;Frozen;2020-02-04;2020-02-05;"p";2020-02-05T08:05:19;systematic;95522
8;generate Investment Account product;access Convertible Marks;2020-02-05;2020-02-04;"p";2020-02-05T10:57:08;Junction COM feed;76538
9;Concrete;overriding;2020-02-04;2020-02-04;"P";2020-02-05T00:26:51;primary Web;20736
10;bluetooth web-enabled;toolset;2020-02-04;2020-02-05;"p";2020-02-04T14:56:32;circuit core;6345
