id;descripcion;descripcion_larga;fecha_inicio;fecha_fin
1;Illinois gold Global;payment;2020-02-04;2020-02-04
2;Cambridgeshire Berkshire;Consultant generating Home Loan Account;2020-02-04;2020-02-04
3;Baht redundant;Canada human-resource robust;2020-02-04;2020-02-05
4;ADP Adaptive;Washington reinvent;2020-02-04;2020-02-05
5;Health Brand circuit;Assurance;2020-02-04;2020-02-05
6;program Steel;Licensed;2020-02-05;2020-02-05
7;killer;Borders;2020-02-05;2020-02-05
8;Bedfordshire;deposit;2020-02-05;2020-02-04
9;Michigan;redefine Greece;2020-02-05;2020-02-05
10;compelling Home Gorgeous Frozen Shoes;Functionality connecting fresh-thinking;2020-02-05;2020-02-04
