id;descripcion;descripcion_larga
1;Borders Oregon Wyoming;Tonga
2;payment mission-critical Ball;feed experiences Gorgeous Fresh Computer
3;olive Agent strategize;Implementation EXE
4;Auto Loan Account panel;French Guiana
5;interface matrix;seamless Checking Account Games
6;Suriname deposit regional;generating Cheese
7;Fresh;invoice
8;pricing structure COM Savings Account;budgetary management JBOD Function-based
9;compress;Program system engine
10;panel infrastructures Soft;24 hour solid state knowledge user
